Variable,Reference,Comparison,RMSE,Bias,N_points,Reference_mean,Comparison_mean,Reference_std,Comparison_std,Unit
air_temperature,Tower 10m_air_temperature,PALM New 10m_air_temperature,,,0,25.883763888888883,21.21229362487793,5.050057000180119,3.76107120513916,°C
air_temperature,Tower 8m_air_temperature,PALM New 8m_air_temperature,,,0,26.038451388888888,20.771093368530273,5.216492699521567,3.788999319076538,°C
air_temperature,Tower 2m E14071_air_temperature,PALM New 2m_air_temperature,,,0,24.882631944444444,18.6173152923584,5.584505982010331,3.443969488143921,°C
air_temperature,Tower 10m_air_temperature,ICON-D2 10m_air_temperature,1.9843399455788746,-1.684785163879372,24,25.883763888888883,23.82130115215597,5.050057000180119,4.503205173476962,°C
air_temperature,Tower 8m_air_temperature,ICON-D2 8m_air_temperature,2.229966819306365,-1.8444240527682603,24,26.038451388888888,23.82130115215597,5.216492699521567,4.503205173476962,°C
air_temperature,Tower 2m E14071_air_temperature,ICON-D2 2m_air_temperature,1.7031558833180995,-0.7203962749904829,24,24.882631944444444,23.82130115215597,5.584505982010331,4.503205173476962,°C
air_temperature,PALM New 10m_air_temperature,ICON-D2 10m_air_temperature,,,0,21.21229362487793,23.82130115215597,3.76107120513916,4.503205173476962,°C
air_temperature,PALM New 8m_air_temperature,ICON-D2 8m_air_temperature,,,0,20.771093368530273,23.82130115215597,3.788999319076538,4.503205173476962,°C
air_temperature,PALM New 2m_air_temperature,ICON-D2 2m_air_temperature,,,0,18.6173152923584,23.82130115215597,3.443969488143921,4.503205173476962,°C
relative_humidity,Tower 10m_relative_humidity,PALM New 10m_relative_humidity,,,0,51.72125694444444,69.18229675292969,17.00048831933535,14.907875061035156,%
relative_humidity,Tower 8m_relative_humidity,PALM New 8m_relative_humidity,,,0,52.01149999999999,71.96995544433594,17.936815177806984,14.430534362792969,%
relative_humidity,Tower 2m E14071_relative_humidity,PALM New 2m_relative_humidity,,,0,56.509888888888895,86.39746856689453,20.51019827406175,15.181587219238281,%
relative_humidity,Tower 10m_relative_humidity,ICON-D2 10m_relative_humidity,4.2356472703850745,1.163912240972194,24,51.72125694444444,54.033320494330255,17.00048831933535,19.220643505989703,%
relative_humidity,Tower 8m_relative_humidity,ICON-D2 8m_relative_humidity,4.253417865689725,0.8820037585406486,24,52.01149999999999,54.04613490912997,17.936815177806984,19.225201828453507,%
relative_humidity,Tower 2m E14071_relative_humidity,ICON-D2 2m_relative_humidity,5.755639659966116,-3.5636238151246626,24,56.509888888888895,54.08459291864707,20.51019827406175,19.238882048068284,%
relative_humidity,PALM New 10m_relative_humidity,ICON-D2 10m_relative_humidity,,,0,69.18229675292969,54.033320494330255,14.907875061035156,19.220643505989703,%
relative_humidity,PALM New 8m_relative_humidity,ICON-D2 8m_relative_humidity,,,0,71.96995544433594,54.04613490912997,14.430534362792969,19.225201828453507,%
relative_humidity,PALM New 2m_relative_humidity,ICON-D2 2m_relative_humidity,,,0,86.39746856689453,54.08459291864707,15.181587219238281,19.238882048068284,%
wind_u,Tower 10m_wind_u,PALM New 10m_wind_u,,,0,-0.5795444444444445,-0.13410106301307678,0.26248330792561103,0.2129136472940445,m/s
wind_v,Tower 10m_wind_v,PALM New 10m_wind_v,,,0,0.3924631944444445,0.02475462481379509,0.5368792286351405,0.3461781144142151,m/s
wind_w,Tower 10m_wind_w,PALM New 10m_wind_w,,,0,-0.04196319444444444,-0.013194235973060131,0.05315789994909553,0.04467666521668434,m/s
wind_u,Tower 3m_wind_u,PALM New 3m_wind_u,,,0,0.02674027777777778,-0.024482127279043198,0.08562477450917222,0.034274619072675705,m/s
