Variable,Reference,Comparison,RMSE,Bias,N_points,Reference_mean,Comparison_mean,Reference_std,Comparison_std,Unit
air_temperature,Tower 10m_air_temperature,PALM New 10m_air_temperature,,,0,25.883763888888883,21.36914825439453,5.050057000180119,3.7858550548553467,°C
air_temperature,Tower 8m_air_temperature,PALM New 8m_air_temperature,,,0,26.038451388888888,20.897600173950195,5.216492699521567,3.858588457107544,°C
air_temperature,Tower 2m E14071_air_temperature,PALM New 2m_air_temperature,,,0,24.882631944444444,18.999801635742188,5.584505982010331,3.3984358310699463,°C
air_temperature,Tower 10m_air_temperature,ICON-D2 10m_air_temperature,1.9843399455788746,-1.684785163879372,24,25.883763888888883,23.82130115215597,5.050057000180119,4.503205173476962,°C
air_temperature,Tower 8m_air_temperature,ICON-D2 8m_air_temperature,2.229966819306365,-1.8444240527682603,24,26.038451388888888,23.82130115215597,5.216492699521567,4.503205173476962,°C
air_temperature,Tower 2m E14071_air_temperature,ICON-D2 2m_air_temperature,1.7031558833180995,-0.7203962749904829,24,24.882631944444444,23.82130115215597,5.584505982010331,4.503205173476962,°C
air_temperature,PALM New 10m_air_temperature,ICON-D2 10m_air_temperature,,,0,21.36914825439453,23.82130115215597,3.7858550548553467,4.503205173476962,°C
air_temperature,PALM New 8m_air_temperature,ICON-D2 8m_air_temperature,,,0,20.897600173950195,23.82130115215597,3.858588457107544,4.503205173476962,°C
air_temperature,PALM New 2m_air_temperature,ICON-D2 2m_air_temperature,,,0,18.999801635742188,23.82130115215597,3.3984358310699463,4.503205173476962,°C
relative_humidity,Tower 10m_relative_humidity,PALM New 10m_relative_humidity,,,0,51.72125694444444,68.47459411621094,17.00048831933535,15.250606536865234,%
relative_humidity,Tower 8m_relative_humidity,PALM New 8m_relative_humidity,,,0,52.01149999999999,71.44447326660156,17.936815177806984,14.91453742980957,%
relative_humidity,Tower 2m E14071_relative_humidity,PALM New 2m_relative_humidity,,,0,56.509888888888895,83.47190856933594,20.51019827406175,14.378328323364258,%
relative_humidity,Tower 10m_relative_humidity,ICON-D2 10m_relative_humidity,4.2356472703850745,1.163912240972194,24,51.72125694444444,54.033320494330255,17.00048831933535,19.220643505989703,%
relative_humidity,Tower 8m_relative_humidity,ICON-D2 8m_relative_humidity,4.253417865689725,0.8820037585406486,24,52.01149999999999,54.04613490912997,17.936815177806984,19.225201828453507,%
relative_humidity,Tower 2m E14071_relative_humidity,ICON-D2 2m_relative_humidity,5.755639659966116,-3.5636238151246626,24,56.509888888888895,54.08459291864707,20.51019827406175,19.238882048068284,%
relative_humidity,PALM New 10m_relative_humidity,ICON-D2 10m_relative_humidity,,,0,68.47459411621094,54.033320494330255,15.250606536865234,19.220643505989703,%
relative_humidity,PALM New 8m_relative_humidity,ICON-D2 8m_relative_humidity,,,0,71.44447326660156,54.04613490912997,14.91453742980957,19.225201828453507,%
relative_humidity,PALM New 2m_relative_humidity,ICON-D2 2m_relative_humidity,,,0,83.47190856933594,54.08459291864707,14.378328323364258,19.238882048068284,%
